folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref4_shy1_smo2_th0.5   2    1       4            1    2          0.5        10              0.017124        0.000646938          11              0.00267454    
2D_p1_ref4_shy1_smo2_th0.75  2    1       4            1    2          0.75       10              0.0165972       0.000636637          11              0.00264723    
2D_p1_ref4_shy1_smo2_th1.    2    1       4            1    2          1.         7               0.0118704       0.000629078          12              0.00288122    
2D_p1_ref4_shy1_smo3_th0.25  2    1       4            1    3          0.25       10              0.0189261       0.000696486          12              0.00294482    
2D_p1_ref4_shy1_smo3_th0.5   2    1       4            1    3          0.5        10              0.0182984       0.000690846          11              0.00266821    
2D_p1_ref4_shy1_smo3_th0.75  2    1       4            1    3          0.75       10              0.0182353       0.000690286          11              0.00267113    
2D_p1_ref4_shy1_smo3_th1.    2    1       4            1    3          1.         7               0.0128642       0.000671767          12              0.00289796    
2D_p1_ref4_shy2_smo1_th0.25  2    1       4            2    1          0.25       11              0.0165749       0.000579389          12              0.00289457    
2D_p1_ref4_shy2_smo1_th0.5   2    1       4            2    1          0.5        10              0.0149704       0.000579759          11              0.00264716    
2D_p1_ref4_shy2_smo1_th0.75  2    1       4            2    1          0.75       10              0.0147419       0.000571709          11              0.00263868    
2D_p1_ref4_shy2_smo1_th1.    2    1       4            2    1          1.         8               0.0117142       0.00054746           12              0.00287929    
2D_p1_ref4_shy2_smo2_th0.25  2    1       4            2    2          0.25       10              0.0166537       0.000652147          12              0.00291708    
2D_p1_ref4_shy2_smo2_th0.5   2    1       4            2    2          0.5        10              0.0163231       0.000617168          11              0.00265086    
2D_p1_ref4_shy2_smo2_th0.75  2    1       4            2    2          0.75       10              0.0163024       0.000616848          11              0.00267187    
2D_p1_ref4_shy2_smo2_th1.    2    1       4            2    2          1.         7               0.0116383       0.000598298          12              0.00287582    
2D_p1_ref4_shy2_smo3_th0.25  2    1       4            2    3          0.25       10              0.0181621       0.000696057          12              0.00292587    
2D_p1_ref4_shy2_smo3_th0.5   2    1       4            2    3          0.5        10              0.017777        0.000666047          11              0.00267617    
2D_p1_ref4_shy2_smo3_th0.75  2    1       4            2    3          0.75       10              0.0179711       0.000652947          11              0.00265589    
2D_p1_ref4_shy2_smo3_th1.    2    1       4            2    3          1.         7               0.0126499       0.000659407          12              0.00287818    
2D_p1_ref4_shy3_smo1_th0.25  2    1       4            3    1          0.25       11              0.0158843       0.000561039          12              0.00289103    
2D_p1_ref4_shy3_smo1_th0.5   2    1       4            3    1          0.5        10              0.0146335       0.000571778          11              0.00264237    
2D_p1_ref4_shy3_smo1_th0.75  2    1       4            3    1          0.75       10              0.0141386       0.000557219          11              0.00264858    
2D_p1_ref4_shy3_smo1_th1.    2    1       4            3    1          1.         8               0.011278        0.000567149          12              0.00288566    
2D_p1_ref4_shy3_smo2_th0.25  2    1       4            3    2          0.25       10              0.0157741       0.000601288          12              0.00291303    
2D_p1_ref4_shy3_smo2_th0.5   2    1       4            3    2          0.5        10              0.0154996       0.000598238          11              0.00264152    
2D_p1_ref4_shy3_smo2_th0.75  2    1       4            3    2          0.75       10              0.0154204       0.000608008          11              0.00264646    
2D_p1_ref4_shy3_smo2_th1.    2    1       4            3    2          1.         7               0.0109531       0.000590749          12              0.00289115    
2D_p1_ref4_shy3_smo3_th0.25  2    1       4            3    3          0.25       10              0.0171103       0.000668766          12              0.00291515    
2D_p1_ref4_shy3_smo3_th0.5   2    1       4            3    3          0.5        10              0.0167709       0.000626427          11              0.00271864    
2D_p1_ref4_shy3_smo3_th0.75  2    1       4            3    3          0.75       10              0.0162782       0.000620598          11              0.00265752    
2D_p1_ref4_shy3_smo3_th1.    2    1       4            3    3          1.         7               0.0119103       0.000603008          12              0.00287596    
2D_p1_ref5_shy1_smo1_th0.25  2    1       5            1    1          0.25       12              0.0951429       0.00355056           12              0.0111317     
2D_p1_ref5_shy1_smo1_th0.5   2    1       5            1    1          0.5        12              0.0931165       0.00348777           12              0.0111154     
2D_p1_ref5_shy1_smo1_th0.75  2    1       5            1    1          0.75       12              0.0931779       0.00353005           12              0.0111801     
2D_p1_ref5_shy1_smo1_th1.    2    1       5            1    1          1.         9               0.0689286       0.0033577            13              0.0119881     
2D_p1_ref5_shy1_smo2_th0.25  2    1       5            1    2          0.25       12              0.104624        0.00372168           12              0.0111249     
2D_p1_ref5_shy1_smo2_th0.5   2    1       5            1    2          0.5        12              0.103015        0.00384228           12              0.0111843     
2D_p1_ref5_shy1_smo2_th0.75  2    1       5            1    2          0.75       12              0.103284        0.00362493           12              0.0111779     
2D_p1_ref5_shy1_smo2_th1.    2    1       5            1    2          1.         8               0.0688553       0.00350792           13              0.0120407     
2D_p1_ref5_shy1_smo3_th0.25  2    1       5            1    3          0.25       12              0.115169        0.00391825           12              0.011082      
2D_p1_ref5_shy1_smo3_th0.5   2    1       5            1    3          0.5        12              0.111772        0.0040831            12              0.0111864     
2D_p1_ref5_shy1_smo3_th0.75  2    1       5            1    3          0.75       12              0.111778        0.00383164           12              0.0111581     
2D_p1_ref5_shy1_smo3_th1.    2    1       5            1    3          1.         8               0.0736021       0.00399858           13              0.0119996     
2D_p1_ref5_shy2_smo1_th0.25  2    1       5            2    1          0.25       12              0.0937548       0.00337215           12              0.0111725     
2D_p1_ref5_shy2_smo1_th0.5   2    1       5            2    1          0.5        12              0.0914725       0.00335026           12              0.0111885     
2D_p1_ref5_shy2_smo1_th0.75  2    1       5            2    1          0.75       12              0.0927388       0.00335119           12              0.0112275     
2D_p1_ref5_shy2_smo1_th1.    2    1       5            2    1          1.         9               0.0673052       0.00328423           13              0.0120677     
2D_p1_ref5_shy2_smo2_th0.25  2    1       5            2    2          0.25       12              0.104179        0.0036129            12              0.0113063     
2D_p1_ref5_shy2_smo2_th0.5   2    1       5            2    2          0.5        12              0.101383        0.00358274           12              0.0111534     
2D_p1_ref5_shy2_smo2_th0.75  2    1       5            2    2          0.75       12              0.100887        0.00356132           12              0.0112129     
2D_p1_ref5_shy2_smo2_th1.    2    1       5            2    2          1.         8               0.0680408       0.00346491           13              0.0120621     
2D_p1_ref5_shy2_smo3_th0.25  2    1       5            2    3          0.25       11              0.103146        0.00421689           12              0.0111894     
2D_p1_ref5_shy2_smo3_th0.5   2    1       5            2    3          0.5        12              0.109325        0.00405662           12              0.0114525     
2D_p1_ref5_shy2_smo3_th0.75  2    1       5            2    3          0.75       12              0.107936        0.00401165           12              0.0112897     
2D_p1_ref5_shy2_smo3_th1.    2    1       5            2    3          1.         8               0.0724853       0.00385268           13              0.012071      
2D_p1_ref5_shy3_smo1_th0.25  2    1       5            3    1          0.25       12              0.0894679       0.00329637           12              0.0110925     
2D_p1_ref5_shy3_smo1_th0.5   2    1       5            3    1          0.5        12              0.0882159       0.00318861           12              0.0111622     
2D_p1_ref5_shy3_smo1_th0.75  2    1       5            3    1          0.75       12              0.0881804       0.00343302           12              0.0112216     
2D_p1_ref5_shy3_smo1_th1.    2    1       5            3    1          1.         9               0.0668428       0.00314402           13              0.0120531     
2D_p1_ref5_shy3_smo2_th0.25  2    1       5            3    2          0.25       12              0.0965999       0.00361312           12              0.0111039     
2D_p1_ref5_shy3_smo2_th0.5   2    1       5            3    2          0.5        12              0.0973177       0.00351549           12              0.0112142     
2D_p1_ref5_shy3_smo2_th0.75  2    1       5            3    2          0.75       12              0.0949938       0.00339531           12              0.0111725     
2D_p1_ref5_shy3_smo2_th1.    2    1       5            3    2          1.         8               0.0642685       0.00335578           13              0.0120503     
2D_p1_ref5_shy3_smo3_th0.25  2    1       5            3    3          0.25       11              0.098237        0.00364689           12              0.0111305     
2D_p1_ref5_shy3_smo3_th0.5   2    1       5            3    3          0.5        12              0.102952        0.00381388           12              0.0111563     
2D_p1_ref5_shy3_smo3_th0.75  2    1       5            3    3          0.75       12              0.102626        0.00362382           12              0.0111388     
2D_p1_ref5_shy3_smo3_th1.    2    1       5            3    3          1.         8               0.0686592       0.00350914           13              0.012044      
2D_p1_ref7_shy1_smo1_th0.25  2    1       7            1    1          0.25       13              2.37069         0.0814538            14              0.2948        
2D_p1_ref7_shy1_smo1_th0.5   2    1       7            1    1          0.5        12              2.19693         0.0832526            14              0.292928      
2D_p1_ref7_shy1_smo1_th0.75  2    1       7            1    1          0.75       12              2.17097         0.083738             14              0.287016      
2D_p1_ref7_shy1_smo1_th1.    2    1       7            1    1          1.         11              1.97729         0.0766934            15              0.312229      
2D_p1_ref7_shy1_smo2_th0.25  2    1       7            1    2          0.25       12              2.24635         0.084162             14              0.298131      
2D_p1_ref7_shy1_smo2_th0.5   2    1       7            1    2          0.5        12              2.22988         0.0835563            14              0.292841      
2D_p1_ref7_shy1_smo2_th0.75  2    1       7            1    2          0.75       12              2.22538         0.0847525            14              0.293291      
2D_p1_ref7_shy1_smo2_th1.    2    1       7            1    2          1.         10              1.89222         0.0823397            15              0.309952      
2D_p1_ref7_shy1_smo3_th0.25  2    1       7            1    3          0.25       12              2.27346         0.0833175            14              0.296162      
2D_p1_ref7_shy1_smo3_th0.5   2    1       7            1    3          0.5        12              2.28474         0.0852356            14              0.293328      
2D_p1_ref7_shy1_smo3_th0.75  2    1       7            1    3          0.75       12              2.20598         0.0782699            14              0.295216      
2D_p1_ref7_shy1_smo3_th1.    2    1       7            1    3          1.         10              1.87865         0.077934             15              0.309792      
2D_p1_ref7_shy2_smo1_th0.25  2    1       7            2    1          0.25       13              2.3289          0.0807795            14              0.301194      
2D_p1_ref7_shy2_smo1_th0.5   2    1       7            2    1          0.5        12              2.20137         0.0833678            14              0.292711      
2D_p1_ref7_shy2_smo1_th0.75  2    1       7            2    1          0.75       12              2.18338         0.0826364            14              0.299103      
2D_p1_ref7_shy2_smo1_th1.    2    1       7            2    1          1.         11              1.97789         0.0824306            15              0.312728      
2D_p1_ref7_shy2_smo2_th0.25  2    1       7            2    2          0.25       12              2.21197         0.0840252            14              0.297385      
2D_p1_ref7_shy2_smo2_th0.5   2    1       7            2    2          0.5        12              2.23778         0.0849816            14              0.30125       
2D_p1_ref7_shy2_smo2_th0.75  2    1       7            2    2          0.75       12              2.2187          0.0821427            14              0.302247      
2D_p1_ref7_shy2_smo2_th1.    2    1       7            2    2          1.         10              1.85989         0.0832798            15              0.310146      
2D_p1_ref7_shy2_smo3_th0.25  2    1       7            2    3          0.25       12              2.2352          0.0869811            14              0.302624      
2D_p1_ref7_shy2_smo3_th0.5   2    1       7            2    3          0.5        12              2.26824         0.0833688            14              0.300887      
2D_p1_ref7_shy2_smo3_th0.75  2    1       7            2    3          0.75       12              2.20524         0.078869             14              0.287507      
2D_p1_ref7_shy2_smo3_th1.    2    1       7            2    3          1.         10              1.91626         0.0877443            15              0.311632      
2D_p1_ref7_shy3_smo1_th0.25  2    1       7            3    1          0.25       13              2.32115         0.079884             14              0.293232      
2D_p1_ref7_shy3_smo1_th0.5   2    1       7            3    1          0.5        13              2.327           0.0833064            14              0.294575      
2D_p1_ref7_shy3_smo1_th0.75  2    1       7            3    1          0.75       13              2.31411         0.0806186            14              0.291106      
2D_p1_ref7_shy3_smo1_th1.    2    1       7            3    1          1.         11              1.96441         0.0852921            15              0.312299      
2D_p1_ref7_shy3_smo2_th0.25  2    1       7            3    2          0.25       12              2.18666         0.0810777            14              0.297756      
2D_p1_ref7_shy3_smo2_th0.5   2    1       7            3    2          0.5        12              2.21119         0.0826444            14              0.296608      
2D_p1_ref7_shy3_smo2_th0.75  2    1       7            3    2          0.75       12              2.18678         0.082371             14              0.288995      
2D_p1_ref7_shy3_smo2_th1.    2    1       7            3    2          1.         10              1.8841          0.0835376            15              0.312028      
2D_p1_ref7_shy3_smo3_th0.25  2    1       7            3    3          0.25       12              2.23085         0.0835125            14              0.298276      
2D_p1_ref7_shy3_smo3_th0.5   2    1       7            3    3          0.5        12              2.23703         0.0837739            14              0.299869      
2D_p1_ref7_shy3_smo3_th0.75  2    1       7            3    3          0.75       12              2.19792         0.0842697            14              0.299414      
2D_p1_ref7_shy3_smo3_th1.    2    1       7            3    3          1.         10              1.88697         0.0848944            15              0.310602      
2D_p1_ref8_shy1_smo1_th0.25  2    1       8            1    1          0.25       13              9.95135         0.351856             16              1.5126        
2D_p1_ref8_shy1_smo1_th0.5   2    1       8            1    1          0.5        13              10.1178         0.353596             16              1.55996       
2D_p1_ref8_shy1_smo1_th0.75  2    1       8            1    1          0.75       13              10.011          0.362125             16              1.53721       
2D_p1_ref8_shy1_smo1_th1.    2    1       8            1    1          1.         11              8.69492         0.32719              17              1.63201       
2D_p1_ref8_shy1_smo2_th0.25  2    1       8            1    2          0.25       13              10.253          0.353833             16              1.57836       
2D_p1_ref8_shy1_smo2_th0.5   2    1       8            1    2          0.5        13              10.1821         0.35626              16              1.5757        
2D_p1_ref8_shy1_smo2_th0.75  2    1       8            1    2          0.75       13              10.1281         0.331404             16              1.53345       
2D_p1_ref8_shy1_smo2_th1.    2    1       8            1    2          1.         11              8.74953         0.351616             17              1.66193       
2D_p1_ref8_shy1_smo3_th0.25  2    1       8            1    3          0.25       13              10.2804         0.36391              16              1.57982       
2D_p1_ref8_shy1_smo3_th0.5   2    1       8            1    3          0.5        13              10.2275         0.357987             16              1.55668       
2D_p1_ref8_shy1_smo3_th0.75  2    1       8            1    3          0.75       13              10.1967         0.359903             16              1.57632       
2D_p1_ref8_shy1_smo3_th1.    2    1       8            1    3          1.         11              8.82636         0.344021             17              1.66451       
2D_p1_ref8_shy2_smo1_th0.25  2    1       8            2    1          0.25       13              10.0796         0.32909              16              1.55488       
2D_p1_ref8_shy2_smo1_th0.5   2    1       8            2    1          0.5        13              10.1098         0.350779             16              1.55569       
2D_p1_ref8_shy2_smo1_th0.75  2    1       8            2    1          0.75       13              10.0729         0.347956             16              1.53083       
2D_p1_ref8_shy2_smo1_th1.    2    1       8            2    1          1.         11              8.75221         0.323698             17              1.65319       
